Nama Siswa,Pilihan Universitas Pertama,Pilihan Program Studi Pertama,Pilihan Universitas Kedua,Pilihan Program Studi Kedua,Skor
Student_001,Universitas Negeri Jakarta,Teknik Mesin,Universitas Padjadjaran,Teknik Elektro,700
Student_002,Universitas Jember,Ilmu Administrasi Negara,Universitas Brawijaya,Administrasi Bisnis,300
Student_003,Universitas Pendidikan Indonesia,Teknik Elektro,Universitas Padjadjaran,Teknik Elektro,500
Student_004,Universitas Negeri Semarang,Gizi,Universitas Sebelas Maret,Psikologi,350
Student_005,Universitas Airlangga,Kedokteran,Universitas Negeri Malang,Ilmu Kesehatan Masyarakat,476
Student_006,Universitas Airlangga,Statistika,Institut Teknologi Sepuluh Nopember,Statistika,570
Student_007,Universitas Airlangga,Kedokteran,Universitas Brawijaya,Kedokteran,623
Student_008,Institut Pertanian Bogor,Proteksi Tanaman,Universitas Negeri Surabaya,Pend. Tata Boga,532
Student_009,Universitas Gadjah Mada,Agronomi,Universitas Sebelas Maret,Ekonomi Pembangunan,715
Student_010,Universitas Indonesia,Pendidikan Dokter Gigi,Universitas Indonesia,Ilmu Keperawatan,663
